"image_id","reference_name","reference_path","width","height","source_tif","frame_index"
"45min_after_washout_frame_010","Trans","result_pic\from_source_tifs\references\Trans\45min after washout_frame_010_Trans.png","256","256","20240724_image processing project\45min after washout Trans_center.tif","10"
"45min_after_washout_frame_010","GFP projected","result_pic\from_source_tifs\references\GFP_projected\45min after washout_frame_010_GFP_projected.png","256","256","20240724_image processing project\45min after washout GFP_center.tif","10"
"45min_after_washout_frame_010","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\45min after washout_frame_010_mCherry_projected.png","256","256","20240724_image processing project\45min after washout_mCherry_center.tif","10"
"45min_after_washout_frame_011","Trans","result_pic\from_source_tifs\references\Trans\45min after washout_frame_011_Trans.png","256","256","20240724_image processing project\45min after washout Trans_center.tif","11"
"45min_after_washout_frame_011","GFP projected","result_pic\from_source_tifs\references\GFP_projected\45min after washout_frame_011_GFP_projected.png","256","256","20240724_image processing project\45min after washout GFP_center.tif","11"
"45min_after_washout_frame_011","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\45min after washout_frame_011_mCherry_projected.png","256","256","20240724_image processing project\45min after washout_mCherry_center.tif","11"
"45min_after_washout_frame_012","Trans","result_pic\from_source_tifs\references\Trans\45min after washout_frame_012_Trans.png","256","256","20240724_image processing project\45min after washout Trans_center.tif","12"
"45min_after_washout_frame_012","GFP projected","result_pic\from_source_tifs\references\GFP_projected\45min after washout_frame_012_GFP_projected.png","256","256","20240724_image processing project\45min after washout GFP_center.tif","12"
"45min_after_washout_frame_012","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\45min after washout_frame_012_mCherry_projected.png","256","256","20240724_image processing project\45min after washout_mCherry_center.tif","12"
"45min_after_washout_frame_013","Trans","result_pic\from_source_tifs\references\Trans\45min after washout_frame_013_Trans.png","256","256","20240724_image processing project\45min after washout Trans_center.tif","13"
"45min_after_washout_frame_013","GFP projected","result_pic\from_source_tifs\references\GFP_projected\45min after washout_frame_013_GFP_projected.png","256","256","20240724_image processing project\45min after washout GFP_center.tif","13"
