image_id,manual_count,rule_count,tp,fp,fn,precision,recall,f1,box_only_matches,missing_manual_review
45min_after_washout_frame_015,9,6,2,4,7,0.3333,0.2222,0.2666,3,False
45min_after_washout_frame_019,8,5,2,3,6,0.4,0.25,0.3077,3,False
45min_after_washout_frame_005,8,5,1,4,7,0.2,0.125,0.1538,2,False
45min_after_washout_frame_000,4,3,1,2,3,0.3333,0.25,0.2857,2,False
60min_after_washout_frame_007,14,8,2,6,12,0.25,0.1429,0.1819,3,False
60min_after_washout_frame_006,9,7,2,5,7,0.2857,0.2222,0.25,3,False
60min_after_washout_frame_002,7,6,3,3,4,0.5,0.4286,0.4616,4,False
85min_after_washout_frame_011,8,8,2,6,6,0.25,0.25,0.25,3,False
85min_after_washout_frame_014,9,7,1,6,8,0.1429,0.1111,0.125,2,False
85min_after_washout_frame_021,3,6,1,5,2,0.1667,0.3333,0.2222,1,False
85min_after_washout_frame_007,9,6,1,5,8,0.1667,0.1111,0.1333,1,False
85min_after_washout_frame_001,4,4,0,4,4,0.0,0.0,,1,False
Colorado+htb2-GFP_frame_009,20,12,4,8,16,0.3333,0.2,0.25,4,False
Colorado+htb2-GFP_frame_002,16,10,1,9,15,0.1,0.0625,0.0769,5,False
Colorado+htb2-GFP_frame_013,11,7,3,4,8,0.4286,0.2727,0.3333,4,False
Colorado+htb2-GFP_frame_011,8,7,2,5,6,0.2857,0.25,0.2667,2,False
_ess_dense_frame_013,10,8,4,4,6,0.5,0.4,0.4444,5,False
_ess_dense_frame_018,12,6,2,4,10,0.3333,0.1667,0.2222,2,False
_ess_dense_frame_011,10,6,4,2,6,0.6667,0.4,0.5,5,False
_ess_dense_frame_008,6,5,2,3,4,0.4,0.3333,0.3636,2,False
alphafactor_arrest_frame_026,0,10,0,10,0,0.0,,,0,True
alphafactor_arrest_frame_000,7,6,1,5,6,0.1667,0.1429,0.1539,1,False
alphafactor_arrest_frame_002,2,5,0,5,2,0.0,0.0,,1,False
alphafactor_arrest_frame_014,7,4,1,3,6,0.25,0.1429,0.1819,1,False
alphafactor_arrest_frame_028,3,2,0,2,3,0.0,0.0,,0,False
alphafactor_arrest_frame_027,3,1,0,1,3,0.0,0.0,,0,False
training_1_frame_028,6,7,3,4,3,0.4286,0.5,0.4616,4,False
training_1_frame_023,9,6,2,4,7,0.3333,0.2222,0.2666,4,False
training_1_frame_055,8,5,2,3,6,0.4,0.25,0.3077,2,False
training_1_frame_038,7,5,2,3,5,0.4,0.2857,0.3333,4,False
training_1_frame_022,6,5,4,1,2,0.8,0.6667,0.7273,4,False
training_1_frame_060,5,4,1,3,4,0.25,0.2,0.2222,1,False
training_1_frame_049,4,4,0,4,4,0.0,0.0,,1,False
training_1_frame_033,7,4,1,3,6,0.25,0.1429,0.1819,1,False
training_1_frame_012,7,4,1,3,6,0.25,0.1429,0.1819,2,False
training_1_frame_004,4,4,1,3,3,0.25,0.25,0.25,2,False
training_1_frame_043,5,3,0,3,5,0.0,0.0,,1,False
training_1_frame_016,5,3,0,3,5,0.0,0.0,,1,False
training_1_frame_041,4,2,0,2,4,0.0,0.0,,0,False
training_2_frame_020,11,7,3,4,8,0.4286,0.2727,0.3333,3,False
training_2_frame_065,7,6,2,4,5,0.3333,0.2857,0.3077,3,False
training_2_frame_083,6,5,4,1,2,0.8,0.6667,0.7273,4,False
training_2_frame_041,6,5,1,4,5,0.2,0.1667,0.1818,3,False
training_2_frame_008,7,5,2,3,5,0.4,0.2857,0.3333,3,False
training_2_frame_099,3,4,2,2,1,0.5,0.6667,0.5714,2,False
training_2_frame_090,5,4,2,2,3,0.5,0.4,0.4444,3,False
training_2_frame_079,3,4,3,1,0,0.75,1.0,0.8571,3,False
training_2_frame_068,5,4,3,1,2,0.75,0.6,0.6667,3,False
training_2_frame_058,3,4,3,1,0,0.75,1.0,0.8571,3,False
training_2_frame_047,6,4,0,4,6,0.0,0.0,,0,False
training_2_frame_028,4,4,3,1,1,0.75,0.75,0.75,4,False
training_2_frame_017,7,4,0,4,7,0.0,0.0,,0,False
training_2_frame_001,5,4,2,2,3,0.5,0.4,0.4444,3,False
training_2_frame_102,5,3,1,2,4,0.3333,0.2,0.25,2,False
training_2_frame_077,3,3,3,0,0,1.0,1.0,1.0,3,False
training_2_frame_061,4,3,1,2,3,0.3333,0.25,0.2857,2,False
training_2_frame_045,4,3,0,3,4,0.0,0.0,,0,False
training_2_frame_032,4,3,0,3,4,0.0,0.0,,1,False
training_2_frame_023,3,3,3,0,0,1.0,1.0,1.0,3,False
training_2_frame_010,5,3,1,2,4,0.3333,0.2,0.25,1,False
training_2_frame_107,3,2,1,1,2,0.5,0.3333,0.4,1,False
training_2_frame_040,4,2,0,2,4,0.0,0.0,,1,False
