image_id,manual_count,rule_count,tp,fp,fn,precision,recall,f1,box_only_matches,missing_manual_review
45min_after_washout_frame_003,10,7,2,5,8,0.2857,0.2,0.2353,2,False
45min_after_washout_frame_006,8,5,1,4,7,0.2,0.125,0.1538,2,False
45min_after_washout_frame_010,6,4,3,1,3,0.75,0.5,0.6,4,False
45min_after_washout_frame_004,5,3,2,1,3,0.6667,0.4,0.5,2,False
60min_after_washout_frame_014,10,8,4,4,6,0.5,0.4,0.4444,4,False
60min_after_washout_frame_015,7,7,5,2,2,0.7143,0.7143,0.7143,5,False
60min_after_washout_frame_013,6,6,3,3,3,0.5,0.5,0.5,4,False
85min_after_washout_frame_006,11,9,0,9,11,0.0,0.0,,0,False
85min_after_washout_frame_009,6,7,3,4,3,0.4286,0.5,0.4616,3,False
85min_after_washout_frame_019,8,6,1,5,7,0.1667,0.125,0.1429,2,False
85min_after_washout_frame_023,7,5,2,3,5,0.4,0.2857,0.3333,3,False
85min_after_washout_frame_008,6,5,2,3,4,0.4,0.3333,0.3636,2,False
Colorado+htb2-GFP_frame_014,16,11,4,7,12,0.3636,0.25,0.2963,6,False
Colorado+htb2-GFP_frame_004,13,10,3,7,10,0.3,0.2308,0.2609,4,False
Colorado+htb2-GFP_frame_017,13,8,4,4,9,0.5,0.3077,0.381,4,False
Colorado+htb2-GFP_frame_005,12,7,4,3,8,0.5714,0.3333,0.421,4,False
_ess_dense_frame_015,11,7,3,4,8,0.4286,0.2727,0.3333,5,False
_ess_dense_frame_007,8,7,2,5,6,0.2857,0.25,0.2667,4,False
_ess_dense_frame_003,11,6,1,5,10,0.1667,0.0909,0.1176,3,False
_ess_dense_frame_001,7,5,1,4,6,0.2,0.1429,0.1667,1,False
alphafactor_arrest_frame_004,6,7,2,5,4,0.2857,0.3333,0.3077,5,False
alphafactor_arrest_frame_003,11,6,1,5,10,0.1667,0.0909,0.1176,3,False
alphafactor_arrest_frame_009,11,5,0,5,11,0.0,0.0,,2,False
alphafactor_arrest_frame_017,8,4,0,4,8,0.0,0.0,,1,False
alphafactor_arrest_frame_011,8,3,0,3,8,0.0,0.0,,3,False
alphafactor_arrest_frame_008,6,2,0,2,6,0.0,0.0,,1,False
training_1_frame_017,16,8,0,8,16,0.0,0.0,,2,False
training_1_frame_011,6,6,0,6,6,0.0,0.0,,1,False
training_1_frame_053,7,5,2,3,5,0.4,0.2857,0.3333,5,False
training_1_frame_035,7,5,1,4,6,0.2,0.1429,0.1667,3,False
training_1_frame_013,5,5,4,1,1,0.8,0.8,0.8,4,False
training_1_frame_052,3,4,2,2,1,0.5,0.6667,0.5714,2,False
training_1_frame_047,4,4,2,2,2,0.5,0.5,0.5,4,False
training_1_frame_024,3,4,3,1,0,0.75,1.0,0.8571,3,False
training_1_frame_008,3,4,2,2,1,0.5,0.6667,0.5714,3,False
training_1_frame_063,2,3,0,3,2,0.0,0.0,,0,False
training_1_frame_056,3,3,1,2,2,0.3333,0.3333,0.3333,2,False
training_1_frame_032,4,3,0,3,4,0.0,0.0,,3,False
training_1_frame_000,3,3,3,0,0,1.0,1.0,1.0,3,False
training_2_frame_092,6,6,1,5,5,0.1667,0.1667,0.1667,4,False
training_2_frame_076,5,6,2,4,3,0.3333,0.4,0.3636,4,False
training_2_frame_103,5,5,2,3,3,0.4,0.4,0.4,4,False
training_2_frame_050,3,5,3,2,0,0.6,1.0,0.75,3,False
training_2_frame_013,6,5,4,1,2,0.8,0.6667,0.7273,5,False
training_2_frame_100,6,4,2,2,4,0.5,0.3333,0.4,4,False
training_2_frame_091,7,4,0,4,7,0.0,0.0,,1,False
training_2_frame_084,5,4,1,3,4,0.25,0.2,0.2222,3,False
training_2_frame_069,4,4,1,3,3,0.25,0.25,0.25,3,False
training_2_frame_060,5,4,3,1,2,0.75,0.6,0.6667,3,False
training_2_frame_048,5,4,3,1,2,0.75,0.6,0.6667,3,False
training_2_frame_029,2,4,1,3,1,0.25,0.5,0.3333,1,False
training_2_frame_019,5,4,2,2,3,0.5,0.4,0.4444,3,False
training_2_frame_002,5,4,3,1,2,0.75,0.6,0.6667,4,False
training_2_frame_105,3,3,3,0,0,1.0,1.0,1.0,3,False
training_2_frame_081,3,3,3,0,0,1.0,1.0,1.0,3,False
training_2_frame_064,3,3,3,0,0,1.0,1.0,1.0,3,False
training_2_frame_046,5,3,1,2,4,0.3333,0.2,0.25,1,False
training_2_frame_033,5,3,1,2,4,0.3333,0.2,0.25,2,False
training_2_frame_024,3,3,2,1,1,0.6667,0.6667,0.6667,3,False
training_2_frame_012,3,3,1,2,2,0.3333,0.3333,0.3333,3,False
training_2_frame_112,3,2,2,0,1,1.0,0.6667,0.8,2,False
training_2_frame_059,3,2,1,1,2,0.5,0.3333,0.4,2,False
training_2_frame_095,4,1,0,1,4,0.0,0.0,,1,False
